Comment,Designator,Footprint,LCSC
XL1509-5.0E1,"U1,U101,U201,U301,U401,U501,U601,U701,U801,U901",Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,C61063
22uF,"C3,C2,C103,C102,C202,C302,C402,C203,C303,C403,C502,C503,C603,C602,C702,C802,C703,C902,C803,C903",Capacitor_SMD:C_1206_3216Metric,C5672
SS34,"D1,D101,D201,D301,D401,D501,D601,D701,D801,D901",Diode_SMD:D_SMA,C8678
68uH,"L1,L101,L201,L301,L401,L501,L601,L701,L801,L901",Inductor_SMD:L_12x12mm_H4.5mm,C149549
100nF,"C1,C101,C201,C301,C401,C501,C601,C701,C801,C901",Capacitor_SMD:C_0603_1608Metric,C14663
